Popl. Share,,Cumulative BGD,,Cumulative MG,,FGT0,FGT1,FGT2,Watts,IGR,CV poor,MLD poor
0,0,0,0,0,BGD,0.182238563,0.032139226,0.008701836,0.037956994,0.176357986,0.156652299,0.014262607
0.1,0.038533141,0.038533141,0.024149299,0.024149299,,,,,,,,
0.2,0.050014101,0.088547243,0.037125464,0.061274763,MG,0.801547294,0.40252269,0.239141666,0.644603999,0.502182083,0.431595988,0.106678685
0.3,0.058333691,0.146880934,0.046556034,0.107830797,,,,,,,,
0.4,0.066297403,0.213178337,0.055059355,0.162890152,,,,,,,,
0.5,0.074884951,0.288063288,0.064873631,0.227763783,,,,,,,,
0.6,0.084817513,0.372880801,0.075624714,0.303388497,,,,,,,,
0.7,0.097351915,0.470232716,0.089656219,0.393044716,,,,,,,,
0.8,0.11489647,0.585129186,0.111541013,0.504585728,,,,,,,,
0.9,0.145617252,0.730746438,0.152353963,0.656939692,,,,,,,,
1,0.269253562,1,0.343060308,1,,,,,,,,
